code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.605300,2022-02-07,19.43,2022-02-24,17.8756,STOP,14,-0.08,-0.083409,43
sh.605300,2024-02-07,12.0078,2024-02-23,13.729,MA,7,0.143339,0.139583,1493
sh.605303,2021-04-29,18.94,2021-05-21,19.15,MA,14,0.011088,0.007515,22
sh.605303,2024-06-11,7.1877,2024-07-05,6.6057,STOP,19,-0.080966,-0.084415,194
sh.605303,2025-01-08,7.6675,2025-01-15,8.0453,MA,6,0.049268,0.045691,457
sh.605303,2025-04-10,8.6783,2025-05-06,9.5359,MA,16,0.098824,0.095128,588
sh.605305,2022-03-17,63.7079,2022-04-06,58.6113,STOP,13,-0.08,-0.08395,199
sh.605305,2022-04-28,44.0451,2022-04-29,40.5215,STOP,2,-0.08,-0.083515,1476
sh.605305,2022-05-06,40.9558,2022-05-12,49.1067,MA,5,0.199017,0.194998,47
sh.605305,2023-05-16,45.8826,2023-05-22,50.5564,MA,5,0.101866,0.098123,58
sh.605305,2025-04-18,46.2369,2025-04-25,50.6662,MA,6,0.095795,0.09207,52
sh.605318,2020-12-28,15.09,2021-01-07,13.8828,STOP,8,-0.08,-0.083484,62
